assetid,balltype,teamcolor1g,teamcolor1r,clubworth,teamcolor2b,teamcolor2r,foundationyear,teamcolor3r,teamcolor1b,opponentweakthreshold,latitude,teamcolor3g,opponentstrongthreshold,teamcolor2g,teamname,teamcolor3b,defmentality,powid,defensivestyle,rightfreekicktakerid,flamethrowercannon,domesticprestige,genericint2,defensivedepth,hasvikingclap,jerseytype,popularity,hastifo,teamstadiumcapacity,iscompetitionscarfenabled,cityid,defensivewidth,rivalteam,isbannerenabled,midfieldrating,matchdayoverallrating,matchdaymidfieldrating,attackrating,playersinboxcorner,longitude,buspassing,matchdaydefenserating,defenserating,iscompetitionpoleflagenabled,skinnyflags,defteamwidth,longkicktakerid,bodytypeid,trait1vweak,busdribbling,rightcornerkicktakerid,suitvariationid,uefa_cl_wins,domesticcups,defaggression,ethnicity,leftcornerkicktakerid,youthdevelopment,teamid,uefa_el_wins,trait1vequal,suittypeid,numtransfersin,playersinboxfk,stanchionflamethrower,captainid,offensivestyle,personalityid,playersinboxcross,prev_el_champ,leftfreekicktakerid,leaguetitles,genericbanner,buspositioning,ccpositioning,busbuildupspeed,transferbudget,ccshooting,overallrating,offensivewidth,ccpassing,profitability,utcoffset,penaltytakerid,freekicktakerid,crowdskintonecode,defdefenderline,internationalprestige,trainingstadium,form,genericint1,cccrossing,trait1vstrong,matchdayattackrating
1944,45,207,250,1694,26,11,1912,250,40,7,52,207,4,6,Cambridge United,40,28,-1,0,193932,4,6,-1,2,0,2,3,0,8127,0,92,2,1938,2,61,60,60,61,2,0,40,58,60,0,0,23,193932,0,1066004,28,193932,0,0,0,28,2,193932,3,1944,0,541716,2,0,2,0,181725,0,0,2,0,193932,0,0,0,1,39,700000,44,61,5,34,4,0,207950,193932,2,0,1,353,0,-1,74,541716,61
1945,45,255,255,3750,204,1,1885,255,255,15,53,255,5,51,Bury,255,26,-1,0,166841,4,7,-1,2,0,1,2,0,11840,0,87,2,1955,0,63,64,65,65,2,-2,51,63,62,0,0,28,201212,0,1073220,32,166841,1,0,2,28,2,166841,3,1945,0,548932,2,0,2,0,166848,1,0,2,0,166841,0,0,0,0,50,1100000,38,63,4,45,6,0,192970,166841,2,0,1,353,0,-1,62,548932,65
1949,45,32,149,2800,251,68,1899,170,51,2,53,32,3,191,Scunthorpe United,51,45,-1,1,200895,4,7,-1,4,0,2,2,0,9088,0,439,5,142,0,66,65,67,64,2,0,49,63,65,0,0,41,200895,2,1056792,43,200895,1,0,0,43,2,200895,4,1949,0,1056792,2,0,2,0,170027,1,0,2,0,200895,0,0,0,0,51,900000,41,66,5,43,6,0,200895,200895,2,0,1,353,0,-1,43,526360,64
1951,45,240,240,3300,110,1,1893,255,1,2,51,255,3,1,Oxford United,255,47,-1,1,183442,4,7,-1,5,0,2,3,0,12500,0,364,5,1934,1,66,67,66,66,2,-1,39,67,66,0,0,59,183442,1,99352,51,183442,1,0,0,35,2,183442,6,1951,0,1082392,1,0,2,0,200840,0,0,5,0,183442,0,0,0,1,37,1000000,37,66,6,37,5,0,183442,183442,2,0,1,353,0,-1,37,542744,66
1952,45,173,241,70000,1,1,1904,241,1,4,53,173,3,1,Hull City,1,67,-1,4,224371,4,5,-1,4,0,2,4,0,25586,2,223,5,8,2,69,69,68,69,2,0,72,69,70,2,0,33,224371,0,139536,53,224371,1,0,0,63,2,224371,2,1952,0,135440,0,0,2,0,140498,2,0,3,0,224371,0,0,0,0,68,7000000,67,70,6,65,8,0,169586,224371,2,0,1,353,0,-1,53,526608,69
1954,45,28,0,3650,255,255,1906,0,97,3,51,28,3,255,Southend United,130,46,-1,1,202033,4,6,-1,4,0,2,3,0,12392,0,460,4,1935,0,65,64,64,64,2,0,52,63,65,0,0,39,165485,0,99666,57,140451,0,0,0,35,10,202033,4,1954,0,1073490,0,0,2,0,186494,1,0,2,0,200319,0,0,0,0,50,700000,39,65,4,55,7,0,165485,200319,2,0,1,353,0,-1,77,543058,62
1955,45,102,51,2350,1,1,1907,51,190,15,53,102,10,1,Rochdale,245,67,-1,4,212990,4,3,-1,6,0,2,1,0,10249,0,407,6,1945,0,65,65,65,64,2,-2,40,65,64,0,0,31,210029,2,263248,25,190995,0,0,0,61,2,190995,5,1955,0,148560,2,0,2,0,118646,0,1,5,0,212990,0,0,0,0,36,650000,41,64,5,31,9,0,118646,212990,2,0,1,353,0,-1,61,132176,65
1959,45,51,1,1700,255,255,1876,1,255,2,53,153,2,255,Macclesfield Town,255,45,-1,1,163768,4,1,-1,3,0,2,2,0,5908,2,686,5,1955,2,59,60,59,60,2,-2,53,58,60,2,0,35,13883,1,1056768,69,13883,1,0,0,47,2,13883,4,1959,0,1105920,2,0,2,0,13883,1,0,2,0,163768,0,0,0,1,52,550000,35,60,4,47,6,0,163768,163768,2,0,1,353,0,-1,69,526336,60
1960,45,255,255,200000,1,1,1912,255,255,5,51,255,4,1,Swansea City,255,49,-1,1,202491,4,5,-1,4,0,2,4,0,21088,2,470,6,1961,2,73,72,73,71,2,-3,39,69,69,2,0,34,202491,0,1049701,51,202491,1,0,0,33,2,202491,5,1960,0,1082469,0,0,2,0,207725,0,0,5,0,202491,0,0,0,0,37,15200000,42,72,6,32,8,0,220031,202491,2,0,4,353,0,-1,42,270437,71
1961,120,93,16,365000,255,255,1899,16,170,4,51,93,3,255,Cardiff City,170,76,-1,2,189462,4,1,-1,4,0,2,4,0,33316,0,94,3,1960,0,74,72,73,72,2,-3,66,72,73,0,0,55,189462,2,135236,45,189462,1,0,1,55,2,189462,3,1961,0,282692,2,0,2,0,187033,2,1,4,0,189462,0,0,0,0,66,35000000,65,73,5,69,5,0,189462,189462,2,0,1,353,0,-1,65,526404,72
1962,45,1,1,3400,255,255,1883,11,240,12,51,60,14,255,Bristol Rovers,180,76,-1,2,188490,4,6,-1,7,0,2,3,0,12296,0,76,6,1919,0,66,64,66,62,2,-2,52,64,64,0,0,42,163581,0,303476,72,188490,0,0,0,52,2,188490,6,1962,0,319860,2,0,2,0,211363,1,1,2,0,188490,0,0,0,0,50,1000000,64,64,6,53,6,0,188490,188490,2,0,1,353,0,-1,72,526708,62
1968,121,245,245,3500,170,1,1910,250,0,3,36,250,3,60,Cádiz CF,111,74,-1,2,213937,4,5,-1,4,0,2,5,0,25033,2,574,5,573,1,70,69,70,69,2,-6,69,67,67,2,0,40,213937,0,155776,40,213937,1,0,0,60,2,213937,3,1968,0,282752,0,0,2,0,172411,2,0,3,0,213937,0,0,0,0,67,1965833,68,69,7,79,3,1,234772,213937,2,0,1,353,0,-1,70,1069184,69
1970,142,176,255,190000,160,0,1960,255,27,3,25,205,1,50,Tigres U.A.N.L.,54,74,-1,2,153244,4,10,-1,7,0,2,6,0,41650,1,424,6,1032,2,76,75,76,77,2,-100,37,73,73,1,0,68,186992,1,164954,52,188041,1,0,3,58,4,188041,3,1970,0,263258,1,0,2,0,207939,0,1,6,0,153244,6,0,1,0,38,26980000,58,75,4,38,3,-6,153244,153244,7,0,7,353,0,-1,58,541786,77
1971,118,15,15,11000,25,255,1902,250,15,2,51,250,6,33,Excelsior,250,28,-1,0,172475,4,2,-1,3,0,2,1,0,4500,2,412,3,246,2,67,66,67,65,2,4,68,66,66,2,0,35,184071,0,266312,54,184071,1,0,0,30,2,172475,2,1971,0,526408,2,0,2,0,184071,3,0,2,0,172475,0,0,0,0,72,2600000,64,66,3,44,9,1,172475,172475,2,0,1,353,0,-1,54,526408,62
2007,70,218,241,6300,1,1,1970,255,50,3,51,255,4,1,Lokeren,255,74,-1,2,212944,4,5,-1,4,0,1,4,0,12136,1,284,4,110913,1,70,69,70,67,2,3,49,69,69,1,0,46,212944,1,303177,46,212944,1,0,2,56,2,212944,5,2007,0,286793,1,0,2,0,135891,1,1,3,0,212944,0,0,0,0,49,2400000,36,69,6,61,6,1,212944,212944,2,1,1,353,0,-1,76,526409,67
2013,70,255,255,6700,1,1,1945,230,255,1,50,230,5,1,Eupen,230,43,-1,1,16,4,2,-1,4,0,1,1,0,8363,1,562,3,232,1,69,68,69,68,2,6,69,64,66,1,0,50,16,0,296016,80,16,1,0,0,49,8,16,8,2013,0,1085520,1,0,2,0,16,2,0,2,0,16,0,0,0,1,73,2600000,80,68,4,79,5,1,16,16,2,0,1,353,0,-1,60,561232,68
2017,77,178,12,4000,255,255,1946,255,222,2,47,255,3,255,TSV Hartberg,255,27,-1,0,238989,4,2,-1,4,0,0,2,0,4635,1,689,5,209,1,62,63,65,65,2,15,73,62,61,1,0,40,238989,1,1056768,53,238989,1,0,0,27,2,238989,4,2017,0,526336,2,0,2,0,169333,3,0,4,0,238989,0,0,0,0,68,1480000,73,62,4,53,9,1,201891,238989,2,0,1,353,0,-1,53,526336,65
2045,77,132,44,1500,1,1,1913,25,91,2,47,100,2,1,FC Wacker Innsbruck,75,46,-1,1,244521,4,5,-1,3,0,2,3,0,16008,1,688,5,191,1,64,63,63,67,2,11,52,61,62,1,0,64,226924,1,1056832,54,243661,1,0,7,41,2,243661,4,2045,0,1056832,2,0,2,0,226924,1,0,5,0,244521,10,0,0,0,52,1008333,64,64,4,41,6,1,141111,244521,2,0,1,353,0,-1,54,266304,65
2055,76,1,255,15000,255,255,1984,1,1,4,36,1,2,255,Sangju Sangmu,1,49,-1,1,207546,4,2,-1,4,0,2,2,0,15042,1,428,4,1474,1,63,64,67,63,2,128,71,61,61,1,1,36,207546,2,1069184,38,200601,1,0,0,33,4,221760,10,2055,0,1069184,2,0,2,0,200601,2,0,3,0,207546,0,0,0,0,73,2800000,66,63,4,63,9,9,233581,207546,4,0,1,353,0,-1,68,548992,64
2056,76,178,102,3630,255,255,2002,1,255,3,35,1,3,255,Daegu FC,204,44,-1,1,207836,4,3,-1,4,0,1,3,0,66422,1,130,4,1474,1,62,65,63,65,2,128,40,64,63,1,1,35,207836,1,1089792,53,225733,0,0,0,47,2,225733,7,2056,0,1082624,2,0,2,0,232338,0,0,6,0,207836,0,0,0,0,39,1600000,49,64,4,39,7,9,221732,207836,4,0,2,353,0,-1,49,542976,66
10019,123,100,40,2300,255,255,1918,40,252,2,41,100,2,255,Feirense,252,46,-1,1,196896,0,2,-1,5,0,1,1,0,6600,0,590,4,518,1,70,70,70,73,2,-8,50,69,69,1,0,62,196896,1,139268,40,196896,1,0,0,49,2,196896,4,10019,0,1073156,1,0,2,0,196896,1,0,4,0,196896,0,0,0,0,53,800000,62,70,4,69,2,0,164857,196896,2,0,1,353,0,-1,70,542724,73
10029,114,66,23,328100,255,255,1899,8,117,4,49,145,4,255,TSG 1899 Hoffenheim,219,66,-1,4,216354,4,6,-1,5,0,2,1,0,30150,1,450,4,36,1,78,77,78,79,2,8,51,76,77,1,0,34,211748,1,66560,34,203106,1,0,0,64,2,216354,8,10029,0,139264,2,0,2,0,192641,1,0,4,0,216354,0,0,0,1,52,28000000,38,78,5,37,5,1,216354,216354,2,0,5,353,0,-1,34,139264,76
10030,116,102,0,12250,1,1,1907,255,175,1,51,255,2,1,SC Paderborn 07,255,45,-1,1,212879,4,1,-1,4,0,2,5,0,15000,1,367,4,159,1,68,68,68,68,2,8,53,68,68,1,0,35,205086,1,139273,41,205086,1,0,0,47,2,205086,3,10030,0,1056777,2,0,2,0,183640,1,0,3,0,205086,0,0,0,0,49,650000,35,67,4,47,6,1,205086,205086,2,0,1,353,0,-1,41,526345,68
10031,123,1,1,5600,255,255,1914,1,1,2,37,1,3,255,Portimonense,1,45,-1,1,238858,0,3,-1,4,0,1,2,0,9544,0,644,4,112516,1,72,71,72,73,2,-9,51,70,70,2,0,63,238858,1,1049624,69,205594,1,0,0,47,4,205594,5,10031,0,1089560,0,0,2,0,238858,1,0,2,0,238858,0,0,0,0,52,950000,63,71,4,47,6,0,238858,238858,2,0,1,353,0,-1,49,528408,73
10032,76,1,1,4250,255,255,1908,252,1,2,46,252,4,255,FC Lugano,252,76,-1,2,231137,4,3,-1,6,0,1,2,0,6390,1,289,6,110770,1,66,66,66,67,2,8,67,64,64,1,0,60,229845,0,167968,70,231137,1,0,3,60,2,237340,3,10032,0,315424,1,0,2,0,229845,2,0,3,0,229845,3,0,0,1,71,1508750,70,66,6,79,9,1,181349,231137,2,0,1,353,0,-1,70,528416,67
15005,70,11,196,8800,74,1,2001,220,48,2,50,15,3,111,Zulte Waregem,53,67,-1,3,229104,4,7,-1,6,0,2,4,0,12250,1,520,3,100081,1,71,68,69,71,2,3,39,67,68,1,0,49,229104,1,83082,23,229104,0,0,2,69,2,229104,1,15005,0,132234,0,0,2,0,148635,0,0,5,0,229104,0,0,0,1,39,3000000,59,70,3,39,6,1,186444,229104,2,0,2,353,0,-1,59,286858,68
15009,77,250,250,5100,1,1,1929,250,1,1,47,250,2,1,SCR Altach,1,66,-1,4,173480,4,4,-1,6,0,2,2,0,8500,1,15,5,191,1,64,65,64,64,2,9,38,65,65,1,0,59,173480,0,164928,53,173480,1,0,0,69,2,173480,2,15009,0,164928,1,0,2,0,152107,0,0,6,0,173480,0,0,0,0,39,1775000,49,65,5,39,7,1,239432,173480,2,0,1,353,0,-1,49,132160,65
15015,45,245,249,3750,1,1,1950,251,1,2,52,235,6,1,Burton Albion,10,49,-1,1,189865,4,7,-1,4,0,2,2,0,6912,2,86,4,91,2,65,67,67,68,2,-1,72,69,67,2,0,37,190722,1,1073478,43,189865,1,0,0,35,2,189865,2,15015,0,1069382,2,0,2,0,140423,2,1,2,0,189865,0,0,0,0,68,800000,67,66,4,65,8,0,190722,189865,2,0,1,353,0,-1,63,528710,69
15019,121,0,187,3200,255,255,1914,1,0,3,41,1,3,255,Nàstic de Tarragona,1,75,-1,2,191059,4,5,-1,5,0,1,2,0,14591,2,475,4,110854,1,68,69,68,71,2,1,39,69,69,2,0,49,191059,1,132160,53,191059,1,0,0,59,2,191059,3,15019,0,263232,1,0,2,0,188128,0,0,6,0,191059,0,0,0,0,39,1772800,59,69,4,39,5,1,188128,191059,2,0,1,353,0,-1,59,1073216,72
15029,125,50,28,34000,35,230,1927,255,138,5,-33,255,2,27,Universidad de Chile,255,76,-1,2,143022,4,10,-1,5,0,1,5,0,48665,1,354,5,110980,1,70,71,70,69,2,-70,50,72,72,1,0,61,24248,1,172212,71,24248,1,0,5,51,4,158851,6,15029,0,319668,2,0,2,0,174542,1,0,3,0,24248,18,0,0,0,49,10177333,37,71,5,51,2,-3,233531,24248,7,0,7,353,0,-1,71,1049780,69
15048,45,255,255,2200,255,75,1884,42,255,2,53,66,2,75,Tranmere Rovers,128,76,-1,2,235014,4,4,-1,3,0,2,3,0,16567,2,687,3,1945,2,61,63,63,63,2,-3,51,63,60,2,0,45,200928,2,132096,45,200928,1,0,0,55,2,200928,3,15048,0,286720,2,0,2,0,208831,1,0,2,0,200928,0,0,0,1,53,600000,33,61,5,59,6,0,193701,235014,2,0,1,353,0,-1,75,1056768,63
100081,70,1,204,4500,255,255,1971,245,1,4,50,1,4,255,Kortrijk,1,44,-1,1,201438,4,5,-1,4,0,2,3,0,9399,1,251,4,15005,1,68,69,68,71,2,3,50,66,68,1,0,42,201438,1,106760,48,192778,0,0,0,34,2,192778,1,100081,0,1057032,0,0,2,0,201438,1,0,2,0,201438,0,0,0,0,51,2000000,42,70,4,54,5,1,192778,201438,2,0,1,353,0,-1,48,542984,71
100325,77,73,2,3900,255,255,1907,2,155,3,60,73,2,255,HJK Helsinki,155,47,-1,1,238203,4,10,-1,4,0,2,3,0,10770,0,586,5,1884,1,58,62,58,64,2,24,73,63,63,1,0,54,238203,0,66564,72,238203,1,0,13,45,2,238203,2,100325,0,1085444,0,0,2,0,205951,2,0,2,0,238203,28,0,1,0,69,600000,64,62,5,75,4,2,242998,238203,2,0,1,353,0,-1,42,526340,64
100409,114,23,205,119345,57,0,1907,255,25,6,48,255,4,97,FC Augsburg,255,45,-1,1,212187,4,3,-1,4,0,2,2,0,30660,1,28,5,169,1,74,74,73,72,2,10,53,76,76,1,0,70,137351,1,1065992,40,212187,1,0,0,49,2,137351,2,100409,0,1073160,0,0,2,0,137351,1,0,2,0,137351,0,0,0,0,53,9500000,70,75,5,69,9,1,199439,212187,2,0,3,353,0,-1,80,526344,71
100628,118,10,250,12000,253,253,1925,5,5,1,52,5,2,253,FC Emmen,5,46,-1,1,186887,4,1,-1,4,0,2,2,0,8301,2,676,4,1915,2,65,65,66,67,2,6,68,64,64,2,0,41,186887,2,270400,43,186887,1,0,0,43,2,186887,2,100628,0,1052736,1,0,2,0,186887,2,0,2,0,186887,0,0,0,0,72,2700000,71,65,4,73,9,1,186887,186887,2,0,1,353,0,-1,43,526400,67
100634,118,255,255,33000,15,15,1903,235,255,3,52,235,6,15,Heracles Almelo,235,66,-1,4,228666,4,5,-1,5,0,1,3,0,13500,2,13,4,1914,2,67,69,69,70,2,6,53,67,66,2,0,66,200700,1,172292,46,228666,1,0,0,66,2,200700,1,100634,0,139524,2,0,2,0,208462,1,0,3,0,228666,2,0,0,0,49,4150000,40,68,4,57,9,1,210386,228666,2,0,1,353,0,-1,46,266500,72
100651,118,228,255,14000,6,255,1903,1,12,1,51,1,6,255,VVV-Venlo,1,44,-1,1,199809,4,3,-1,3,0,2,2,0,8000,2,617,4,634,2,67,67,69,66,2,6,71,66,66,2,0,60,199809,1,1052744,36,199809,1,0,1,37,2,199809,6,100651,0,1069128,0,0,2,0,199407,2,0,2,0,199809,0,0,0,0,73,2950000,70,67,5,67,8,1,199809,199809,2,0,1,353,0,-1,76,526408,66
100765,77,160,57,180000,32,215,1922,255,80,5,55,255,1,25,Lokomotiv Moskva,255,68,-1,4,157960,0,8,-1,6,0,1,6,0,28500,1,330,4,100767,1,78,77,78,78,2,37,51,76,76,1,0,49,157960,0,1049928,39,157960,1,0,7,69,2,157960,4,100765,0,139592,0,0,2,0,147782,1,1,3,0,157960,3,0,0,1,52,15660000,43,77,4,65,6,3,157960,157960,2,0,6,353,0,-1,39,526664,78
100767,119,11,251,300000,255,255,1922,251,11,4,55,11,3,255,Spartak Moskva,11,66,-1,4,202642,0,10,-1,6,0,1,6,0,45000,1,330,6,315,1,76,76,76,76,2,37,49,75,75,1,0,63,202642,1,181296,73,202642,0,0,3,63,4,202642,8,100767,0,188464,0,0,2,0,187366,1,0,3,0,202642,10,0,0,1,51,27600000,31,76,6,55,4,3,180826,202642,2,0,4,353,0,-1,73,575536,76
100804,67,100,45,5300,255,255,1884,51,220,1,56,120,4,255,St. Johnstone,220,47,-1,1,193728,4,5,-1,4,0,2,2,0,10696,0,375,3,180,0,65,65,65,66,2,-3,52,63,63,0,0,39,193728,2,1098784,47,193728,1,0,1,33,2,193728,3,100804,0,1056800,0,0,2,0,198624,1,0,2,0,193728,0,0,0,0,50,950000,39,65,3,33,8,0,208675,193728,2,0,1,353,0,-1,47,528416,67
100805,67,255,255,2050,1,1,1877,250,255,2,55,1,2,1,St. Mirren,1,47,-1,1,243963,4,2,-1,3,0,2,2,0,8023,1,674,3,82,1,63,66,65,65,2,-4,38,65,62,1,0,33,184615,0,1049632,24,243963,0,0,3,39,2,243963,5,100805,0,1049632,2,0,2,0,184615,0,1,2,0,243963,0,0,0,0,40,700000,55,63,3,35,4,0,244321,243963,2,0,1,353,0,-1,55,270368,66
100831,121,217,233,2500,190,30,1971,255,79,2,40,255,3,110,AD Alcorcón,255,47,-1,1,216836,4,6,-1,4,0,2,3,0,5100,2,9,6,480,1,70,70,70,68,2,-3,52,69,69,2,0,64,216836,1,1056768,50,216836,1,0,0,36,2,216836,2,100831,0,1056768,0,0,2,0,194924,1,0,2,0,216836,0,0,0,0,53,1556944,64,69,6,56,4,1,216836,216836,2,0,1,353,0,-1,50,528384,68
100888,121,90,70,10750,255,255,1928,245,190,4,40,245,3,255,CD Leganés,255,25,-1,0,223608,4,4,-1,4,0,2,2,0,11454,2,271,3,1860,1,75,74,75,75,2,-3,68,73,73,2,0,30,223608,0,1049096,41,223608,1,0,0,20,4,223608,2,100888,0,544776,2,0,2,0,210333,2,0,2,0,223608,0,0,0,0,68,4212656,67,75,5,77,3,1,215334,223608,2,0,1,353,0,-1,71,542728,74
101007,119,236,251,7240,99,1,1910,3,11,2,39,3,4,16,MKE Ankaragücü,3,75,-1,2,202882,4,5,-1,7,0,2,6,0,19209,1,18,6,327,1,70,72,70,71,2,32,36,73,72,1,0,68,194979,1,132112,47,223278,1,0,2,58,4,172418,5,101007,0,263184,0,0,2,0,223278,0,0,6,0,200275,1,0,0,0,38,2773789,38,72,6,38,5,2,172418,200275,9,0,5,353,0,-1,38,526352,72
101014,119,102,51,35000,1,255,2014,50,204,2,41,100,1,102,Medipol Başakşehir,200,75,-1,2,80,4,8,-1,3,0,1,5,0,17300,1,231,6,111339,1,76,76,77,79,2,28,49,75,74,1,0,53,80,1,164882,53,80,1,0,0,53,4,80,5,101014,0,270354,0,0,2,0,80,1,0,6,0,80,0,0,0,0,51,6008333,61,75,5,35,6,2,80,80,9,0,4,353,0,-1,53,1069074,82
101020,119,204,255,9000,3,198,1966,255,1,1,38,204,4,2,Kayserispor,1,75,-1,2,215531,4,4,-1,7,0,2,2,0,32864,1,242,6,742,1,72,71,72,72,2,35,73,69,71,1,0,66,215531,1,188424,56,215531,1,0,1,56,2,215531,6,101020,0,282632,0,0,2,0,125995,2,0,4,0,215531,0,0,0,0,69,2475000,72,72,6,67,8,2,215531,215531,9,0,2,353,0,-1,76,1052680,72
101026,119,1,255,7350,1,255,1925,1,1,2,38,1,3,255,Göztepe,1,43,-1,1,208585,4,4,-1,4,0,2,5,0,6041,1,627,5,111340,1,72,73,73,71,2,27,39,73,71,1,0,39,184133,1,132096,53,184133,1,0,2,31,4,193177,4,101026,0,1098752,2,0,2,0,184133,0,1,5,0,184133,0,0,0,0,39,3067706,59,72,5,39,3,2,209473,208585,9,0,1,353,0,-1,69,1056768,71
101033,119,142,38,25000,255,255,1922,31,117,3,37,160,4,255,Atiker Konyaspor,130,75,-1,2,223017,4,6,-1,7,0,2,3,0,41981,1,250,5,111339,1,70,71,71,74,2,32,38,71,71,1,0,64,178600,2,165184,53,223017,0,0,1,54,4,223017,4,101033,0,296256,2,0,2,0,124337,0,0,6,0,223017,0,0,0,1,39,5166667,44,71,5,34,6,2,231095,223017,9,0,3,353,0,-1,44,559424,74
101037,119,173,28,11000,216,82,1953,255,86,2,41,255,2,128,Çaykur Rizespor,255,25,-1,0,199601,4,3,-1,2,0,1,2,0,15558,1,406,5,436,1,71,71,72,71,2,40,71,67,67,1,0,24,199601,1,1106258,46,199601,0,0,0,29,2,178077,2,101037,0,526674,2,0,2,0,183769,3,0,2,0,199601,0,0,0,0,67,2541000,76,70,5,56,10,2,244628,199601,9,0,2,353,0,-1,46,543058,71
101041,119,0,255,11000,255,255,1967,225,0,1,39,26,3,255,Sivasspor,39,47,-1,1,122849,4,4,-1,4,0,2,3,0,27532,1,453,6,436,1,69,70,69,72,2,37,49,70,71,1,0,56,241166,1,270600,48,239045,1,0,0,33,4,122849,4,101041,0,1073416,0,0,2,0,202356,1,0,2,0,122849,0,0,0,0,51,2750000,56,71,6,53,8,2,122849,122849,9,0,1,353,0,-1,78,526600,74
101047,6,255,255,150000,150,0,1927,255,255,2,50,255,2,60,Dynamo Kyiv,255,76,-1,2,244369,0,10,-1,4,0,2,7,0,70050,1,698,4,101059,1,76,75,76,74,2,30,53,75,75,1,0,41,244369,0,132240,71,244369,1,0,11,51,2,244369,8,101047,0,319632,1,0,2,0,220948,1,0,5,0,244369,15,0,0,1,49,15750000,45,75,4,67,5,3,244369,244369,2,0,6,353,0,-1,71,1052816,74
101059,119,80,240,300000,1,1,1936,255,0,5,48,90,4,1,Shakhtar Donetsk,44,68,-1,4,200206,0,10,-1,6,0,1,8,0,52667,1,140,3,101047,1,78,76,78,74,2,37,51,75,75,1,0,67,195861,1,132242,77,187754,1,0,12,67,4,200206,4,101059,1,172178,0,0,2,0,188803,1,1,6,0,200206,11,0,0,1,50,18600000,43,76,3,55,8,2,187754,200206,2,0,8,353,0,-1,57,526482,74
101083,36,22,252,24000,255,255,1905,252,28,2,-34,22,3,255,Estudiantes de La Plata,28,67,-1,4,143112,4,8,-1,6,0,1,6,0,53000,2,259,4,101084,1,69,70,69,69,2,-57,52,69,69,1,1,32,229595,1,139269,32,229595,1,0,0,62,2,229595,7,101083,0,139269,2,0,2,0,173857,1,0,3,0,229595,6,0,0,0,50,5000000,44,70,4,45,5,-3,229595,229595,7,0,6,353,0,-1,32,532485,69
101084,36,255,255,10000,98,18,1887,255,255,2,-34,255,3,21,Gimnasia y Esgrima La Plata,255,59,-1,4,215076,4,5,-1,5,0,2,4,0,21500,2,259,6,101083,1,72,68,72,66,2,-57,73,67,67,1,1,44,214771,1,102404,44,214771,1,0,0,74,4,215076,6,101084,0,69636,1,0,2,0,192371,2,0,5,0,214771,1,0,0,0,71,3200000,80,68,6,67,6,-3,139799,214771,7,0,2,353,0,-1,44,1052676,67
101085,36,200,55,47500,255,255,1903,1,255,4,-34,55,2,255,Racing Club de Avellaneda,100,76,-1,2,212214,4,9,-1,7,0,1,7,0,50000,2,30,5,110093,1,75,74,75,77,2,-58,49,74,73,1,1,63,157217,0,312356,73,157217,1,0,0,53,2,157217,7,101085,0,319524,1,0,2,0,142707,1,1,2,0,212214,17,0,0,0,51,9500000,31,74,3,63,4,-3,142707,212214,7,0,8,353,0,-1,73,581668,77
101088,36,63,31,33800,255,255,1910,31,116,2,-34,63,3,255,Vélez Sarsfield,116,47,-1,1,232255,4,5,-1,4,0,1,5,0,49540,2,82,6,111715,1,70,70,71,68,2,-58,49,68,67,1,1,56,228819,1,1065984,46,228819,1,0,0,41,2,232255,9,101088,0,1073152,2,0,2,0,215192,1,1,2,0,228819,10,0,0,0,49,5300000,56,69,6,61,6,-3,235008,232255,7,0,5,353,0,-1,76,1056768,68
101097,125,119,30,18000,0,236,1910,255,50,2,-33,255,3,0,Audax Italiano,255,60,-1,4,220201,4,7,-1,5,0,2,3,0,12000,0,258,4,111328,1,66,67,66,68,2,-70,39,66,66,1,0,49,213604,1,188800,23,220201,1,0,0,79,2,220201,7,101097,0,83328,1,0,2,0,220201,0,0,6,0,220201,4,0,0,1,39,3816000,39,67,4,39,7,-3,225270,220201,7,0,2,353,0,-1,79,543104,68
101099,74,26,210,5500,255,255,1927,210,30,3,3,26,2,255,América de Cali,30,48,-1,1,176605,4,6,-1,4,0,2,7,0,36000,2,91,4,101102,1,68,68,68,69,2,-76,69,67,68,1,1,42,176605,2,1065992,70,214392,0,0,0,49,4,221480,6,101099,0,1085448,2,0,2,0,214608,2,1,3,0,176605,13,0,0,0,67,2200000,72,68,4,79,3,-5,212618,176605,7,0,5,353,0,-1,40,542728,69
101100,74,127,13,56500,255,255,1947,13,64,3,6,127,3,255,Atlético Nacional,64,46,-1,1,198426,4,10,-1,4,0,1,8,0,44739,2,310,3,101103,1,71,72,71,76,2,-75,37,72,72,1,1,32,214327,1,1082404,44,231571,0,0,3,46,6,214327,7,101100,0,1049636,1,0,2,0,214583,0,0,5,0,231571,16,0,0,0,40,9000000,40,72,3,40,4,-5,187075,231571,7,0,9,353,0,-1,40,526372,76
101101,74,30,224,19500,255,255,1924,255,34,4,10,255,1,255,Junior de Barranquilla,255,59,-1,4,225182,4,8,-1,5,0,1,6,0,46692,2,40,3,112903,1,71,71,71,73,2,-74,40,68,67,1,1,31,225182,1,66848,20,225182,0,0,2,71,2,225182,4,101101,0,66848,2,0,2,0,161663,0,1,6,0,225182,7,0,0,0,36,5000000,41,71,3,31,5,-5,196150,225182,7,0,7,353,0,-1,41,1052960,72
